type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
R	8.46292	0.243462	3.04035	0.0287681	0	3.03909	0.0874531	8.46292	0.243462	8.6	0.25	-3.00029	0	0
L	8.44966	0.251527	3.03707	0.0289465	5.79348e-06	3.0358	0.0879002	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00875488
R	8.47496	0.248178	1.81352	0.0196726	-0.000786221	1.81317	0.0356745	8.56759	0.241943	8.45	0.25	0	0	3.04699
L	8.50385	0.252347	1.75796	0.0294492	0.000222646	1.7572	0.0517631	8.45582	0.253997	8.45	0.25	0	0	0.193062
R	8.36251	0.249987	-0.673436	0.0324491	0.000618854	-0.673081	-0.0218486	8.42544	0.254042	8.35	0.25	-1.81979	0	17.2324
L	8.30184	0.249151	-0.71054	0.0352198	0.000905865	-0.7101	-0.0250199	8.23962	0.24916	8.25	0.25	-1.81978	0	0.253588
R	8.03625	0.234816	-2.46629	0.0125169	-0.00416142	-2.4661	-0.0308696	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	46.7421
L	7.90694	0.216192	-2.49293	0.0644604	0.0358397	-2.48775	-0.160584	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.449094
R	7.7304	0.210522	-2.69264	0.0143196	0.00925105	-2.69236	-0.0385562	7.61269	0.155818	7.7	0.15	-2.99982	0	4.32795
L	7.59748	0.182979	-2.71435	0.093322	0.0529731	-2.70254	-0.252941	7.54016	0.159641	7.55	0.15	-2.99982	0	0.239174
R	7.49533	0.122819	-2.59337	0.227371	0.141343	-2.52662	-0.58459	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.70849
L	7.36182	0.0597636	-2.60364	0.297288	0.179679	-2.48943	-0.76268	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.0833133
R	7.20336	0.0631811	-2.67517	0.1993	0.0229903	-2.62222	-0.52964	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.11567
L	7.06228	-0.00588232	-2.69155	0.25774	0.0682575	-2.60264	-0.686065	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.187718
R	6.96268	-0.128844	-2.59064	0.441551	0.448449	-2.34217	-1.10709	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.32685
L	6.84084	-0.21841	-2.59996	0.5025	0.492373	-2.27856	-1.25219	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.127159
